Model,Train_RMSE,Val_RMSE,Train_MAE,Val_MAE,Train_R2,Val_R2,Overfitting
SVR,15668.258563487458,22791.73373037306,7137.957490194523,13929.893994927375,0.9588411010417613,0.9322762666926101,0.026564834349151245
Ridge,22801.14815504152,28040.87243209275,12684.701941508123,15767.653231955777,0.9128362870483193,0.8974892976499302,0.015346989398389077
ElasticNet,24616.055952200753,28191.010082605022,13536.679568748876,15716.916697850547,0.898408065644473,0.8963886244195365,0.002019441224936469
Lasso,24837.06300685869,28253.84524465298,13672.171824533872,15753.440895270078,0.8965756579240421,0.8959262292703004,0.0006494286537417349
Polynomial Regression,5.503344747078699e-10,28822.60652632872,3.508905312429144e-10,17622.445162878586,1.0,0.8916939613085612,0.10830603869143884
Linear Regression,20561.215854532653,28985.03330704679,11992.590230302989,16646.186512651995,0.9291206259485142,0.8904698270820081,0.03865079886650613
KNN,0.0,33095.4724430285,0.0,19115.60423740072,1.0,0.8572016017779076,0.1427983982220924
Decision Tree,17100.174663639234,40509.04352669255,10094.804942023562,23267.743482281865,0.950974347619104,0.7860609101722605,0.1649134374468435
